Model,MSO2012,,,
Firmware Version,1.06,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.0032,,,
Filter Frequency,1.00E+08,,,
Record Length,6242,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-9.60E+00,0.012,0.028,0,0.4
-9.60E+00,0.012,0.00399999,0,-0.2
-9.59E+00,0.012,0.02,0,0.4
-9.59E+00,0.012,0.00399999,0,-0.2
-9.59E+00,0.012,0.02,0,0.4
-9.58E+00,0.012,0.00399999,0,-0.2
-9.58E+00,0.012,0.02,0,0.4
-9.58E+00,0.012,0.00399999,0,-0.2
-9.57E+00,0.012,0.02,0,0.4
-9.57E+00,0.012,-0.00400001,0,-0.2
-9.57E+00,0.012,0.02,0,0.4
-9.57E+00,0.012,0.00399999,0,-0.2
-9.56E+00,0.012,0.02,0,0.4
-9.56E+00,0.012,0.00399999,0,-0.2
-9.56E+00,0.012,0.02,0,0.4
-9.55E+00,0.012,-0.00400001,0,-0.2
-9.55E+00,0.012,0.02,0,0.4
-9.55E+00,0.012,0.00399999,0,-0.2
-9.54E+00,0.012,0.02,0,0.4
-9.54E+00,0.012,-0.00400001,0,-0.2
-9.54E+00,0.012,0.02,0,0.4
-9.53E+00,0.012,-0.00400001,0,-0.2
-9.53E+00,0.012,0.02,0,0.4
-9.53E+00,0.012,-0.00400001,0,-0.2
-9.52E+00,0.012,0.02,0,0.2
-9.52E+00,0.012,-0.00400001,0,-0.2
-9.52E+00,0.012,0.02,0,0.4
-9.51E+00,0.012,-0.00400001,0,-0.2
-9.51E+00,0.012,0.02,0,0.4
-9.51E+00,0.012,-0.00400001,0,-0.2
-9.50E+00,0.012,0.02,0,0.2
-9.50E+00,0.012,-0.00400001,0,-0.2
-9.50E+00,0.012,0.02,0,0.4
-9.49E+00,0.012,-0.00400001,0,-0.2
-9.49E+00,0.012,0.02,0,0.2
-9.49E+00,0.00399999,-0.00400001,0,-0.2
-9.49E+00,0.012,0.02,0,0.4
-9.48E+00,0.012,-0.00400001,0,-0.2
-9.48E+00,0.012,0.02,0,0.4
-9.48E+00,0.00399999,-0.00400001,0,-0.2
-9.47E+00,0.00399999,0.02,0,0.4
-9.47E+00,0.012,-0.00400001,0,-0.2
-9.47E+00,0.012,0.02,0,0.4
-9.46E+00,0.012,-0.00400001,0,-0.2
-9.46E+00,0.00399999,0.02,0,0.4
-9.46E+00,0.012,-0.00400001,0,-0.2
-9.45E+00,0.012,0.02,0,0.4
-9.45E+00,0.012,-0.00400001,0,-0.2
-9.45E+00,0.012,0.02,0,0.4
-9.44E+00,0.012,-0.00400001,0,-0.2
-9.44E+00,0.012,0.02,0,0.4
-9.44E+00,0.012,-0.00400001,0,-0.2
-9.43E+00,0.00399999,0.02,0,0.2
-9.43E+00,0.012,-0.00400001,0,-0.2
-9.43E+00,0.00399999,0.02,0,0.4
-9.42E+00,0.012,-0.00400001,0,-0.2
-9.42E+00,0.012,0.02,0,0.4
-9.42E+00,0.012,-0.00400001,0,-0.2
-9.41E+00,0.012,0.02,0,0.2
-9.41E+00,0.012,-0.00400001,0,-0.2
-9.41E+00,0.00399999,0.02,0,0.2
-9.41E+00,0.012,-0.00400001,0,-0.2
-9.40E+00,0.00399999,0.02,0,0.4
-9.40E+00,0.00399999,-0.00400001,0,-0.2
-9.40E+00,0.00399999,0.02,0,0.4
-9.39E+00,0.012,-0.00400001,0,-0.2
-9.39E+00,0.012,0.02,0,0.4
-9.39E+00,0.012,-0.00400001,0,-0.2
-9.38E+00,0.012,0.02,0,0.4
-9.38E+00,0.012,-0.00400001,0,-0.2
-9.38E+00,0.012,0.02,0,0.2
-9.37E+00,0.012,-0.00400001,0,-0.2
-9.37E+00,0.00399999,0.02,0,0.4
-9.37E+00,0.012,-0.00400001,0,-0.2
-9.36E+00,0.012,0.02,0,0.2
-9.36E+00,0.012,-0.00400001,0,-0.2
-9.36E+00,0.00399999,0.02,0,0.4
-9.35E+00,0.012,-0.00400001,0,-0.2
-9.35E+00,0.00399999,0.02,0,0.4
-9.35E+00,0.00399999,-0.00400001,0,-0.2
-9.34E+00,0.012,0.02,0,0.2
-9.34E+00,0.012,-0.00400001,0,-0.2
-9.34E+00,0.012,0.02,0,0.4
-9.33E+00,0.012,-0.00400001,0,-0.2
-9.33E+00,0.012,0.02,0,0.4
-9.33E+00,0.00399999,-0.00400001,0,-0.2
-9.33E+00,0.012,0.02,0,0.4
-9.32E+00,0.012,-0.00400001,0,-0.2
-9.32E+00,0.012,0.02,0,0.4
-9.32E+00,0.012,-0.00400001,0,-0.2
-9.31E+00,0.00399999,0.02,0,0.2
-9.31E+00,0.012,-0.00400001,0,-0.2
-9.31E+00,0.00399999,0.02,0,0.4
-9.30E+00,0.00399999,-0.00400001,0,-0.2
-9.30E+00,0.012,0.02,0,0.4
-9.30E+00,0.012,-0.00400001,0,-0.2
-9.29E+00,0.012,0.02,0,0.2
-9.29E+00,0.012,-0.00400001,0,-0.2
-9.29E+00,0.012,0.02,0,0.4
-9.28E+00,0.00399999,-0.00400001,0,-0.2
-9.28E+00,0.00399999,0.02,0,0.4
-9.28E+00,0.00399999,-0.00400001,0,-0.2
-9.27E+00,0.00399999,0.02,0,0.4
-9.27E+00,0.012,-0.00400001,0,-0.2
-9.27E+00,0.00399999,0.02,0,0.4
-9.26E+00,0.00399999,-0.00400001,0,-0.2
-9.26E+00,0.00399999,0.02,0,0.4
-9.26E+00,0.00399999,-0.00400001,0,-0.2
-9.25E+00,0.00399999,0.02,0,0.2
-9.25E+00,0.00399999,-0.00400001,0,-0.2
-9.25E+00,0.00399999,0.02,0,0.4
-9.25E+00,0.00399999,-0.00400001,0,-0.2
-9.24E+00,0.012,0.02,0,0.4
-9.24E+00,0.00399999,-0.00400001,0,-0.2
-9.24E+00,0.012,0.02,0,0.4
-9.23E+00,0.00399999,-0.00400001,0,-0.2
-9.23E+00,0.00399999,0.02,0,0.4
-9.23E+00,0.012,-0.00400001,0,-0.2
-9.22E+00,0.012,0.02,0,0.2
-9.22E+00,0.00399999,-0.00400001,0,-0.2
-9.22E+00,0.00399999,0.02,0,0.4
-9.21E+00,0.00399999,-0.00400001,0,-0.2
-9.21E+00,0.00399999,0.02,0,0.4
-9.21E+00,0.00399999,-0.00400001,0,-0.2
-9.20E+00,0.00399999,0.02,0,0.4
-9.20E+00,0.00399999,-0.00400001,0,-0.2
-9.20E+00,0.00399999,0.02,0,0.4
-9.19E+00,0.00399999,-0.00400001,0.2,-0.2
-9.19E+00,0.00399999,0.02,0,0.4
-9.19E+00,0.00399999,-0.00400001,0,-0.2
-9.18E+00,0.00399999,0.02,0,0.2
-9.18E+00,0.00399999,-0.00400001,0,-0.2
-9.18E+00,0.00399999,0.02,0,0.4
-9.17E+00,0.00399999,-0.00400001,0,-0.2
-9.17E+00,0.00399999,0.02,0,0.4
-9.17E+00,0.012,-0.00400001,0,-0.2
-9.17E+00,0.00399999,0.02,0,0.4
-9.16E+00,0.00399999,-0.00400001,0,-0.2
-9.16E+00,0.00399999,0.02,0,0.4
-9.16E+00,0.00399999,-0.00400001,0,-0.2
-9.15E+00,0.00399999,0.02,0,0.4
-9.15E+00,0.00399999,-0.00400001,0,-0.2
-9.15E+00,0.00399999,0.02,0,0.4
-9.14E+00,0.00399999,-0.00400001,0,-0.2
-9.14E+00,0.00399999,0.02,0,0.4
-9.14E+00,0.012,-0.00400001,0,-0.2
-9.13E+00,0.00399999,0.02,0,0.4
-9.13E+00,0.00399999,-0.00400001,0,-0.2
-9.13E+00,0.00399999,0.02,0,0.4
-9.12E+00,0.012,-0.00400001,0,-0.2
-9.12E+00,0.00399999,0.02,0,0.4
-9.12E+00,0.00399999,-0.00400001,0,-0.2
-9.11E+00,0.00399999,0.02,0,0.2
-9.11E+00,0.012,-0.00400001,0,-0.2
-9.11E+00,0.00399999,0.02,0,0.2
-9.10E+00,0.00399999,-0.00400001,0,-0.2
-9.10E+00,0.00399999,0.02,0,0.4
-9.10E+00,0.00399999,-0.00400001,0,-0.2
-9.09E+00,0.00399999,0.02,0,0.2
-9.09E+00,0.00399999,-0.00400001,0,-0.2
-9.09E+00,0.00399999,0.02,0,0.4
-9.09E+00,0.00399999,-0.00400001,0,-0.2
-9.08E+00,0.00399999,0.02,0,0.2
-9.08E+00,0.00399999,-0.00400001,0,-0.2
-9.08E+00,0.00399999,0.02,0,0.2
-9.07E+00,0.00399999,-0.00400001,0,-0.2
-9.07E+00,0.00399999,0.02,0,0.4
-9.07E+00,0.00399999,-0.00400001,0,-0.2
-9.06E+00,0.00399999,0.02,0,0.4
-9.06E+00,0.00399999,-0.00400001,0,-0.2
-9.06E+00,0.00399999,0.02,0,0.4
-9.05E+00,0.00399999,-0.012,0,-0.2
-9.05E+00,0.00399999,0.02,0,0.4
-9.05E+00,0.00399999,-0.00400001,0,-0.2
-9.04E+00,0.00399999,0.02,0,0.2
-9.04E+00,0.00399999,-0.00400001,0,-0.2
-9.04E+00,0.00399999,0.02,0,0.4
-9.03E+00,0.00399999,-0.00400001,0,-0.2
-9.03E+00,0.00399999,0.02,0,0.4
-9.03E+00,0.00399999,-0.00400001,0,-0.2
-9.02E+00,0.00399999,0.02,0,0.2
-9.02E+00,0.00399999,-0.00400001,0,-0.2
-9.02E+00,0.00399999,0.02,0,0.4
-9.01E+00,0.00399999,-0.00400001,0,-0.2
-9.01E+00,0.012,0.02,0,0.4
-9.01E+00,0.00399999,-0.00400001,0,-0.2
-9.01E+00,0.00399999,0.02,0,0.4
-9.00E+00,0.00399999,-0.00400001,0,-0.2
-9.00E+00,0.00399999,0.02,0,0.4
-9.00E+00,0.00399999,-0.012,0,-0.2
-8.99E+00,0.00399999,0.02,0,0.4
-8.99E+00,0.00399999,-0.00400001,0,-0.2
-8.99E+00,0.00399999,0.02,0,0.4
-8.98E+00,0.00399999,-0.012,0,-0.2
-8.98E+00,0.00399999,0.02,0,0.4
-8.98E+00,0.00399999,-0.00400001,0,-0.2
-8.97E+00,0.00399999,0.012,0,0.4
-8.97E+00,0.00399999,-0.012,0,-0.2
-8.97E+00,0.00399999,0.02,0,0.4
-8.96E+00,0.00399999,-0.00400001,0,-0.2
-8.96E+00,0.00399999,0.02,0,0.4
-8.96E+00,0.00399999,-0.012,0,-0.2
-8.95E+00,0.00399999,0.012,0,0.4
-8.95E+00,0.00399999,-0.012,0,-0.2
-8.95E+00,0.00399999,0.02,0,0.4
-8.94E+00,0.00399999,-0.00400001,0,-0.2
