Model,MSO2012,,,
Firmware Version,1.06,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.0032,,,
Filter Frequency,1.00E+08,,,
Record Length,6242,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.33E+00,0.14,0.124,0,-0.2
-5.33E+00,0.132,0.148,0,0.4
-5.33E+00,0.14,0.124,0,-0.2
-5.33E+00,0.132,0.148,0,0.4
-5.32E+00,0.132,0.124,0,-0.2
-5.32E+00,0.132,0.148,0,0.4
-5.32E+00,0.132,0.124,0,-0.2
-5.31E+00,0.132,0.148,0,0.4
-5.31E+00,0.132,0.116,0,-0.2
-5.31E+00,0.132,0.148,0,0.4
-5.30E+00,0.132,0.116,0,-0.2
-5.30E+00,0.132,0.148,0,0.4
-5.30E+00,0.132,0.116,0,-0.2
-5.29E+00,0.132,0.14,0,0.4
-5.29E+00,0.132,0.116,0,-0.2
-5.29E+00,0.124,0.14,0,0.4
-5.28E+00,0.132,0.116,0,-0.2
-5.28E+00,0.132,0.14,0,0.4
-5.28E+00,0.124,0.116,0,-0.2
-5.27E+00,0.124,0.14,0,0.2
-5.27E+00,0.124,0.116,0,-0.2
-5.27E+00,0.132,0.14,0,0.4
-5.26E+00,0.124,0.116,0,-0.2
-5.26E+00,0.124,0.14,0,0.4
-5.26E+00,0.124,0.116,0,-0.2
-5.25E+00,0.124,0.14,0,0.2
-5.25E+00,0.124,0.108,0,-0.4
-5.25E+00,0.124,0.14,0,0.4
-5.25E+00,0.124,0.108,0,-0.4
-5.24E+00,0.124,0.14,0,0.4
-5.24E+00,0.124,0.108,0,-0.2
-5.24E+00,0.124,0.132,0,0.2
-5.23E+00,0.116,0.108,0,-0.2
-5.23E+00,0.124,0.132,0,0.4
-5.23E+00,0.116,0.108,0,-0.2
-5.22E+00,0.116,0.132,0,0.4
-5.22E+00,0.116,0.108,0,-0.2
-5.22E+00,0.116,0.132,0,0.4
-5.21E+00,0.116,0.108,0,-0.2
-5.21E+00,0.116,0.132,0,0.4
-5.21E+00,0.116,0.108,0,-0.2
-5.20E+00,0.116,0.132,0,0.4
-5.20E+00,0.108,0.108,0,-0.2
-5.20E+00,0.116,0.132,-0.2,0.4
-5.19E+00,0.116,0.1,0,-0.2
-5.19E+00,0.116,0.132,0,0.4
-5.19E+00,0.116,0.1,0,-0.2
-5.18E+00,0.116,0.124,0,0.2
-5.18E+00,0.116,0.1,0,-0.2
-5.18E+00,0.116,0.124,0,0.4
-5.17E+00,0.116,0.1,0,-0.2
-5.17E+00,0.108,0.124,0,0.4
-5.17E+00,0.108,0.1,0,-0.2
-5.17E+00,0.116,0.124,0,0.2
-5.16E+00,0.108,0.1,0,-0.2
-5.16E+00,0.116,0.124,0,0.4
-5.16E+00,0.108,0.1,0,-0.2
-5.15E+00,0.108,0.124,0,0.4
-5.15E+00,0.108,0.1,0,-0.2
-5.15E+00,0.108,0.124,0,0.4
-5.14E+00,0.108,0.1,0,-0.2
-5.14E+00,0.108,0.124,0,0.4
-5.14E+00,0.108,0.092,0,-0.4
-5.13E+00,0.108,0.116,0,0.4
-5.13E+00,0.108,0.092,0,-0.2
-5.13E+00,0.108,0.116,0,0.4
-5.12E+00,0.108,0.092,0,-0.2
-5.12E+00,0.1,0.116,0,0.4
-5.12E+00,0.108,0.092,0,-0.2
-5.11E+00,0.108,0.116,0,0.2
-5.11E+00,0.108,0.092,0,-0.2
-5.11E+00,0.108,0.116,0,0.4
-5.10E+00,0.1,0.092,0,-0.2
-5.10E+00,0.1,0.116,0,0.4
-5.10E+00,0.1,0.092,0,-0.2
-5.09E+00,0.1,0.116,0,0.4
-5.09E+00,0.1,0.092,0,-0.2
-5.09E+00,0.1,0.116,0,0.4
-5.09E+00,0.108,0.092,0,-0.2
-5.08E+00,0.1,0.116,0,0.4
-5.08E+00,0.1,0.092,0,-0.2
-5.08E+00,0.1,0.116,0,0.2
-5.07E+00,0.1,0.092,0,-0.2
-5.07E+00,0.1,0.116,0,0.4
-5.07E+00,0.1,0.084,0,-0.2
-5.06E+00,0.1,0.116,0,0.4
-5.06E+00,0.1,0.084,0,-0.2
-5.06E+00,0.1,0.116,0,0.4
-5.05E+00,0.1,0.084,0,-0.4
-5.05E+00,0.092,0.116,0,0.4
-5.05E+00,0.1,0.084,0,-0.2
-5.04E+00,0.1,0.108,0,0.4
-5.04E+00,0.1,0.084,0,-0.2
-5.04E+00,0.1,0.108,0,0.4
-5.03E+00,0.1,0.084,0,-0.2
-5.03E+00,0.092,0.108,0,0.4
-5.03E+00,0.1,0.084,0,-0.2
-5.02E+00,0.1,0.108,0,0.4
-5.02E+00,0.092,0.084,0,-0.2
-5.02E+00,0.092,0.108,0,0.4
-5.01E+00,0.1,0.084,0,-0.2
-5.01E+00,0.092,0.108,0,0.4
-5.01E+00,0.092,0.084,0,-0.2
-5.01E+00,0.092,0.108,0,0.4
-5.00E+00,0.092,0.084,0,-0.2
-5.00E+00,0.092,0.108,0,0.4
-5.00E+00,0.092,0.084,0,-0.4
-4.99E+00,0.092,0.108,0,0.4
-4.99E+00,0.092,0.084,0,-0.2
-4.99E+00,0.092,0.108,0,0.4
-4.98E+00,0.092,0.076,0,-0.2
-4.98E+00,0.092,0.108,0,0.4
-4.98E+00,0.092,0.076,0,-0.2
-4.97E+00,0.092,0.108,0,0.4
-4.97E+00,0.092,0.076,0,-0.2
-4.97E+00,0.092,0.108,0,0.4
-4.96E+00,0.092,0.076,0,-0.2
-4.96E+00,0.092,0.1,0,0.4
-4.96E+00,0.092,0.076,0,-0.2
-4.95E+00,0.092,0.1,0,0.4
-4.95E+00,0.092,0.076,0,-0.2
-4.95E+00,0.084,0.1,0,0.4
-4.94E+00,0.092,0.076,0,-0.2
-4.94E+00,0.092,0.1,0,0.4
-4.94E+00,0.092,0.076,0,-0.2
-4.93E+00,0.084,0.1,0,0.4
-4.93E+00,0.084,0.076,0,-0.2
-4.93E+00,0.084,0.1,0,0.4
-4.93E+00,0.084,0.076,0,-0.2
-4.92E+00,0.084,0.1,0,0.4
-4.92E+00,0.084,0.076,0,-0.2
-4.92E+00,0.084,0.1,0,0.2
-4.91E+00,0.084,0.076,0,-0.2
-4.91E+00,0.084,0.1,0,0.4
-4.91E+00,0.084,0.076,0,-0.2
-4.90E+00,0.084,0.1,0,0.4
-4.90E+00,0.084,0.076,0,-0.2
-4.90E+00,0.084,0.1,0,0.4
-4.89E+00,0.084,0.076,0,-0.2
-4.89E+00,0.084,0.1,0,0.4
-4.89E+00,0.084,0.068,0,-0.2
-4.88E+00,0.084,0.092,0,0.4
-4.88E+00,0.084,0.068,0,-0.2
-4.88E+00,0.084,0.092,0,0.4
-4.87E+00,0.084,0.068,0,-0.2
-4.87E+00,0.084,0.092,0,0.4
-4.87E+00,0.084,0.068,0,-0.2
-4.86E+00,0.084,0.092,0,0.2
-4.86E+00,0.084,0.068,0,-0.2
-4.86E+00,0.084,0.092,0,0.4
-4.85E+00,0.084,0.068,0,-0.4
-4.85E+00,0.084,0.092,0,0.4
-4.85E+00,0.084,0.068,0,-0.2
-4.85E+00,0.076,0.092,0,0.4
-4.84E+00,0.084,0.068,0,-0.2
-4.84E+00,0.084,0.092,0,0.4
-4.84E+00,0.076,0.068,0,-0.2
-4.83E+00,0.076,0.092,0,0.4
-4.83E+00,0.084,0.068,0,-0.2
-4.83E+00,0.076,0.092,0,0.2
-4.82E+00,0.076,0.068,0,-0.4
-4.82E+00,0.076,0.092,0,0.4
-4.82E+00,0.076,0.068,0,-0.2
-4.81E+00,0.076,0.092,0,0.4
-4.81E+00,0.076,0.06,0,-0.2
-4.81E+00,0.076,0.092,0,0.4
-4.80E+00,0.076,0.06,0,-0.2
-4.80E+00,0.076,0.092,0,0.4
-4.80E+00,0.068,0.068,0,-0.2
-4.79E+00,0.076,0.092,0,0.4
-4.79E+00,0.076,0.06,0,-0.2
-4.79E+00,0.076,0.084,0,0.4
-4.78E+00,0.076,0.06,0,-0.2
-4.78E+00,0.076,0.092,0,0.4
-4.78E+00,0.076,0.06,0,-0.2
-4.77E+00,0.076,0.084,0,0.4
-4.77E+00,0.068,0.06,0,-0.4
-4.77E+00,0.068,0.084,0,0.4
-4.77E+00,0.076,0.06,0,-0.2
-4.76E+00,0.076,0.084,0,0.4
-4.76E+00,0.068,0.06,0,-0.2
-4.76E+00,0.076,0.084,0,0.4
-4.75E+00,0.068,0.06,0,-0.2
-4.75E+00,0.068,0.084,0,0.4
-4.75E+00,0.076,0.06,0,-0.2
-4.74E+00,0.068,0.084,0,0.4
-4.74E+00,0.068,0.06,0,-0.2
-4.74E+00,0.068,0.084,0,0.4
-4.73E+00,0.068,0.06,0,-0.2
-4.73E+00,0.068,0.084,0,0.4
-4.73E+00,0.068,0.06,0,-0.2
-4.72E+00,0.068,0.084,0,0.4
-4.72E+00,0.068,0.06,0,-0.2
-4.72E+00,0.068,0.084,0,0.4
-4.71E+00,0.068,0.06,0,-0.2
-4.71E+00,0.068,0.084,0,0.4
-4.71E+00,0.068,0.06,0,-0.2
-4.70E+00,0.068,0.084,0,0.2
-4.70E+00,0.068,0.06,0,-0.2
-4.70E+00,0.068,0.084,0,0.4
-4.69E+00,0.068,0.052,0,-0.2
-4.69E+00,0.068,0.084,0,0.4
-4.69E+00,0.068,0.06,0,-0.2
-4.69E+00,0.068,0.084,0,0.4
-4.68E+00,0.068,0.06,0.2,-0.2
-4.68E+00,0.068,0.084,0,0.4
-4.68E+00,0.068,0.052,0,-0.2
-4.67E+00,0.068,0.084,0,0.4
-4.67E+00,0.068,0.052,0,-0.2
-4.67E+00,0.068,0.084,0,0.4
-4.66E+00,0.06,0.052,0,-0.2
-4.66E+00,0.068,0.084,0,0.4
-4.66E+00,0.068,0.052,0,-0.2
-4.65E+00,0.068,0.084,0,0.4
-4.65E+00,0.068,0.052,0,-0.2
-4.65E+00,0.06,0.084,0,0.4
-4.64E+00,0.06,0.052,0,-0.2
-4.64E+00,0.06,0.084,0,0.4
-4.64E+00,0.068,0.052,0,-0.2
-4.63E+00,0.06,0.076,0,0.4
-4.63E+00,0.06,0.052,0,-0.2
-4.63E+00,0.068,0.076,0,0.4
-4.62E+00,0.06,0.052,0,-0.2
-4.62E+00,0.068,0.084,0,0.4
-4.62E+00,0.06,0.052,0,-0.2
-4.61E+00,0.06,0.076,0,0.2
-4.61E+00,0.06,0.052,0,-0.4
-4.61E+00,0.06,0.076,0,0.4
-4.61E+00,0.06,0.052,0,-0.2
-4.60E+00,0.06,0.076,0,0.4
-4.60E+00,0.06,0.052,0,-0.2
-4.60E+00,0.06,0.076,0,0.2
-4.59E+00,0.06,0.052,0,-0.2
-4.59E+00,0.06,0.076,0,0.4
-4.59E+00,0.06,0.052,0,-0.2
-4.58E+00,0.06,0.076,0,0.4
-4.58E+00,0.06,0.052,0,-0.2
-4.58E+00,0.06,0.076,0,0.4
-4.57E+00,0.06,0.052,0,-0.4
-4.57E+00,0.06,0.076,0,0.4
-4.57E+00,0.06,0.052,0,-0.2
-4.56E+00,0.06,0.076,0,0.4
-4.56E+00,0.06,0.052,0,-0.2
-4.56E+00,0.06,0.076,0,0.4
-4.55E+00,0.06,0.044,0,-0.2
-4.55E+00,0.06,0.076,0,0.4
-4.55E+00,0.06,0.052,0,-0.2
-4.54E+00,0.06,0.076,0,0.2
-4.54E+00,0.06,0.052,0,-0.2
-4.54E+00,0.06,0.076,0,0.4
-4.53E+00,0.06,0.044,0,-0.2
-4.53E+00,0.06,0.076,0,0.4
-4.53E+00,0.06,0.052,0,-0.2
-4.53E+00,0.06,0.076,0,0.4
-4.52E+00,0.06,0.044,0,-0.2
-4.52E+00,0.06,0.076,0,0.4
-4.52E+00,0.06,0.044,0,-0.2
-4.51E+00,0.06,0.068,0,0.4
-4.51E+00,0.06,0.044,0,-0.2
-4.51E+00,0.06,0.068,0,0.2
-4.50E+00,0.06,0.044,0,-0.2
-4.50E+00,0.068,0.076,0,0.4
-4.50E+00,0.06,0.044,0,-0.2
-4.49E+00,0.052,0.068,0,0.4
-4.49E+00,0.06,0.044,0,-0.2
-4.49E+00,0.06,0.068,0,0.2
-4.48E+00,0.052,0.044,0,-0.2
-4.48E+00,0.06,0.068,0,0.4
-4.48E+00,0.052,0.044,0,-0.2
-4.47E+00,0.052,0.068,0,0.4
-4.47E+00,0.06,0.044,0,-0.4
-4.47E+00,0.052,0.068,0,0.4
-4.46E+00,0.052,0.044,0,-0.2
-4.46E+00,0.052,0.068,0,0.4
-4.46E+00,0.052,0.044,0,-0.2
-4.45E+00,0.06,0.068,0,0.2
-4.45E+00,0.052,0.044,0,-0.2
-4.45E+00,0.052,0.068,0,0.4
-4.45E+00,0.052,0.044,0,-0.2
-4.44E+00,0.052,0.068,0,0.4
-4.44E+00,0.052,0.044,0,-0.2
-4.44E+00,0.052,0.068,0,0.4
-4.43E+00,0.052,0.044,0,-0.2
-4.43E+00,0.052,0.068,0,0.4
-4.43E+00,0.052,0.044,0,-0.2
-4.42E+00,0.052,0.068,0,0.4
-4.42E+00,0.052,0.044,0,-0.2
-4.42E+00,0.06,0.068,0,0.4
-4.41E+00,0.052,0.044,0,-0.2
-4.41E+00,0.06,0.068,0,0.4
-4.41E+00,0.06,0.044,0,-0.2
-4.40E+00,0.052,0.068,0,0.4
-4.40E+00,0.052,0.044,0,-0.2
-4.40E+00,0.052,0.068,0,0.4
-4.39E+00,0.052,0.044,0,-0.2
-4.39E+00,0.044,0.068,0,0.4
-4.39E+00,0.052,0.044,0,-0.2
-4.38E+00,0.052,0.068,0,0.2
-4.38E+00,0.052,0.044,0,-0.2
-4.38E+00,0.052,0.068,0,0.4
-4.37E+00,0.052,0.036,0,-0.2
-4.37E+00,0.052,0.068,0,0.4
-4.37E+00,0.052,0.036,0,-0.2
-4.37E+00,0.052,0.068,0,0.2
-4.36E+00,0.052,0.044,0,-0.2
-4.36E+00,0.052,0.068,0,0.4
-4.36E+00,0.044,0.036,0,-0.2
-4.35E+00,0.052,0.06,0,0.4
-4.35E+00,0.052,0.036,0,-0.2
-4.35E+00,0.052,0.068,0,0.4
-4.34E+00,0.052,0.036,0,-0.2
-4.34E+00,0.044,0.06,0,0.4
-4.34E+00,0.052,0.036,0,-0.2
-4.33E+00,0.052,0.068,0,0.4
-4.33E+00,0.044,0.036,0,-0.2
-4.33E+00,0.044,0.06,0,0.4
-4.32E+00,0.052,0.036,0,-0.2
-4.32E+00,0.052,0.068,0,0.4
-4.32E+00,0.052,0.036,0,-0.2
-4.31E+00,0.052,0.06,0,0.4
-4.31E+00,0.052,0.036,0,-0.2
-4.31E+00,0.052,0.06,0,0.4
-4.30E+00,0.052,0.036,0,-0.2
-4.30E+00,0.052,0.06,0,0.4
-4.30E+00,0.052,0.036,0,-0.2
-4.29E+00,0.052,0.06,0,0.2
-4.29E+00,0.052,0.036,0,-0.2
-4.29E+00,0.044,0.06,0,0.4
-4.29E+00,0.052,0.036,0,-0.2
-4.28E+00,0.052,0.06,0,0.4
-4.28E+00,0.052,0.036,0,-0.2
-4.28E+00,0.044,0.06,0,0.2
-4.27E+00,0.044,0.036,0,-0.2
-4.27E+00,0.044,0.06,0,0.4
-4.27E+00,0.044,0.036,0,-0.2
-4.26E+00,0.052,0.06,0,0.4
-4.26E+00,0.044,0.036,0,-0.2
-4.26E+00,0.044,0.06,0,0.4
-4.25E+00,0.044,0.036,0,-0.2
-4.25E+00,0.044,0.06,0,0.4
-4.25E+00,0.044,0.036,0,-0.2
-4.24E+00,0.044,0.06,0,0.4
-4.24E+00,0.052,0.036,0,-0.2
-4.24E+00,0.044,0.06,0,0.4
-4.23E+00,0.044,0.036,0,-0.2
-4.23E+00,0.044,0.06,0,0.4
-4.23E+00,0.044,0.036,0,-0.2
-4.22E+00,0.044,0.06,0,0.2
-4.22E+00,0.044,0.036,0,-0.2
-4.22E+00,0.044,0.06,0,0.4
-4.21E+00,0.052,0.036,0,-0.2
-4.21E+00,0.044,0.06,0,0.4
-4.21E+00,0.044,0.036,0,-0.2
-4.21E+00,0.044,0.06,0,0.4
-4.20E+00,0.044,0.028,0,-0.2
-4.20E+00,0.044,0.06,0,0.4
-4.20E+00,0.044,0.036,0,-0.2
-4.19E+00,0.044,0.06,0,0.4
-4.19E+00,0.052,0.028,0,-0.2
-4.19E+00,0.044,0.06,0,0.4
-4.18E+00,0.044,0.036,0,-0.2
-4.18E+00,0.044,0.06,0,0.4
-4.18E+00,0.044,0.028,0,-0.2
-4.17E+00,0.044,0.06,0,0.4
-4.17E+00,0.044,0.028,0,-0.2
-4.17E+00,0.044,0.06,0,0.4
-4.16E+00,0.036,0.028,0,-0.2
-4.16E+00,0.044,0.06,0,0.4
-4.16E+00,0.044,0.028,0,-0.2
-4.15E+00,0.044,0.052,0,0.4
-4.15E+00,0.044,0.028,0,-0.2
-4.15E+00,0.036,0.06,0,0.4
-4.14E+00,0.044,0.028,0,-0.2
-4.14E+00,0.044,0.06,0,0.4
-4.14E+00,0.044,0.028,0,-0.2
-4.13E+00,0.036,0.052,0,0.2
-4.13E+00,0.044,0.028,0,-0.2
-4.13E+00,0.044,0.06,0,0.4
-4.13E+00,0.036,0.028,0,-0.2
-4.12E+00,0.044,0.06,0,0.4
-4.12E+00,0.044,0.028,0,-0.2
-4.12E+00,0.044,0.052,0,0.4
-4.11E+00,0.036,0.028,0,-0.2
-4.11E+00,0.044,0.052,0,0.4
-4.11E+00,0.044,0.028,0,-0.2
-4.10E+00,0.044,0.06,0,0.4
-4.10E+00,0.044,0.028,0,-0.2
-4.10E+00,0.036,0.052,0,0.4
-4.09E+00,0.036,0.028,0,-0.2
-4.09E+00,0.036,0.052,0,0.4
-4.09E+00,0.044,0.028,0,-0.2
-4.08E+00,0.036,0.052,0,0.4
-4.08E+00,0.044,0.028,0,-0.2
-4.08E+00,0.044,0.052,0,0.4
-4.07E+00,0.036,0.028,0,-0.2
-4.07E+00,0.044,0.052,0,0.4
-4.07E+00,0.036,0.028,0,-0.2
-4.06E+00,0.044,0.052,0,0.2
-4.06E+00,0.036,0.028,0,-0.2
-4.06E+00,0.044,0.052,0,0.4
-4.05E+00,0.036,0.028,0,-0.2
-4.05E+00,0.044,0.052,0,0.4
-4.05E+00,0.036,0.028,0,-0.2
-4.05E+00,0.044,0.052,0,0.2
-4.04E+00,0.044,0.028,0,-0.2
-4.04E+00,0.036,0.052,0,0.4
-4.04E+00,0.036,0.028,0,-0.4
-4.03E+00,0.036,0.052,0,0.4
-4.03E+00,0.044,0.028,0,-0.2
-4.03E+00,0.036,0.052,0,0.2
-4.02E+00,0.036,0.028,0,-0.2
-4.02E+00,0.036,0.052,0,0.4
-4.02E+00,0.036,0.028,0,-0.2
-4.01E+00,0.036,0.052,0,0.4
-4.01E+00,0.044,0.028,0,-0.2
-4.01E+00,0.036,0.052,0,0.4
-4.00E+00,0.036,0.028,0,-0.2
-4.00E+00,0.036,0.052,0,0.4
-4.00E+00,0.036,0.028,0,-0.2
-3.99E+00,0.044,0.052,0,0.4
-3.99E+00,0.036,0.028,0,-0.4
-3.99E+00,0.036,0.052,0,0.4
-3.98E+00,0.036,0.028,0,-0.2
-3.98E+00,0.036,0.052,0,0.4
-3.98E+00,0.036,0.028,0,-0.2
-3.97E+00,0.036,0.052,0,0.4
-3.97E+00,0.036,0.028,0,-0.2
-3.97E+00,0.036,0.052,0,0.4
-3.97E+00,0.036,0.028,0,-0.2
-3.96E+00,0.036,0.052,0,0.4
-3.96E+00,0.036,0.028,0,-0.2
-3.96E+00,0.036,0.052,0,0.2
-3.95E+00,0.036,0.02,0,-0.2
-3.95E+00,0.036,0.052,0,0.2
-3.95E+00,0.044,0.028,0,-0.2
-3.94E+00,0.036,0.052,0,0.4
-3.94E+00,0.036,0.028,0,-0.2
-3.94E+00,0.036,0.052,0,0.4
-3.93E+00,0.036,0.028,0,-0.2
-3.93E+00,0.036,0.052,0,0.4
-3.93E+00,0.036,0.028,0,-0.2
-3.92E+00,0.036,0.052,0,0.4
-3.92E+00,0.044,0.028,0,-0.2
-3.92E+00,0.036,0.052,0,0.4
-3.91E+00,0.036,0.02,0,-0.2
-3.91E+00,0.036,0.052,0,0.4
-3.91E+00,0.036,0.02,0,-0.2
-3.90E+00,0.036,0.052,0,0.4
-3.90E+00,0.036,0.028,0,-0.2
-3.90E+00,0.036,0.052,0,0.4
-3.89E+00,0.036,0.02,0,-0.2
-3.89E+00,0.036,0.052,0,0.4
-3.89E+00,0.028,0.02,0,-0.2
-3.89E+00,0.036,0.052,0,0.4
-3.88E+00,0.036,0.02,0,-0.2
-3.88E+00,0.036,0.052,0,0.4
-3.88E+00,0.028,0.02,0,-0.2
-3.87E+00,0.036,0.044,0,0.4
-3.87E+00,0.036,0.02,0,-0.2
-3.87E+00,0.036,0.052,0,0.4
-3.86E+00,0.036,0.028,0,-0.2
-3.86E+00,0.036,0.052,0,0.4
-3.86E+00,0.036,0.02,0,-0.2
-3.85E+00,0.036,0.052,0,0.4
-3.85E+00,0.028,0.02,0,-0.2
-3.85E+00,0.036,0.044,0,0.4
-3.84E+00,0.036,0.02,0,-0.2
-3.84E+00,0.036,0.052,0,0.4
-3.84E+00,0.036,0.02,0,-0.2
-3.83E+00,0.036,0.044,0,0.4
-3.83E+00,0.036,0.02,0,-0.2
-3.83E+00,0.036,0.044,0,0.4
-3.82E+00,0.036,0.02,0,-0.2
-3.82E+00,0.036,0.044,0,0.4
-3.82E+00,0.036,0.02,0,-0.2
-3.81E+00,0.036,0.044,0,0.4
-3.81E+00,0.028,0.02,0,-0.2
-3.81E+00,0.036,0.044,0,0.4
-3.81E+00,0.028,0.02,0,-0.2
-3.80E+00,0.036,0.044,0,0.4
-3.80E+00,0.028,0.02,0,-0.2
-3.80E+00,0.028,0.044,0,0.4
-3.79E+00,0.028,0.02,0,-0.2
-3.79E+00,0.036,0.044,0,0.4
-3.79E+00,0.028,0.02,0,-0.2
-3.78E+00,0.028,0.044,0,0.4
-3.78E+00,0.036,0.02,0,-0.2
-3.78E+00,0.028,0.044,0,0.4
-3.77E+00,0.036,0.02,0,-0.2
-3.77E+00,0.028,0.044,0,0.4
-3.77E+00,0.028,0.02,0,-0.2
-3.76E+00,0.028,0.044,0,0.4
-3.76E+00,0.028,0.02,0,-0.2
-3.76E+00,0.028,0.044,0,0.4
-3.75E+00,0.028,0.02,0,-0.2
-3.75E+00,0.036,0.044,0,0.4
-3.75E+00,0.028,0.02,0,-0.2
-3.74E+00,0.036,0.044,0,0.4
-3.74E+00,0.028,0.02,0,-0.2
-3.74E+00,0.028,0.044,0,0.4
-3.73E+00,0.028,0.02,0,-0.2
-3.73E+00,0.028,0.044,0,0.4
-3.73E+00,0.028,0.02,0,-0.2
-3.73E+00,0.036,0.044,0,0.2
-3.72E+00,0.028,0.02,0,-0.2
-3.72E+00,0.028,0.044,0,0.4
-3.72E+00,0.028,0.02,0,-0.2
-3.71E+00,0.028,0.044,0,0.4
-3.71E+00,0.036,0.02,0,-0.2
-3.71E+00,0.028,0.044,0,0.4
-3.70E+00,0.036,0.02,0,-0.2
-3.70E+00,0.028,0.044,0,0.4
-3.70E+00,0.028,0.02,0,-0.2
-3.69E+00,0.028,0.044,0,0.4
-3.69E+00,0.028,0.02,0,-0.2
-3.69E+00,0.028,0.044,0,0.4
-3.68E+00,0.028,0.02,0,-0.2
-3.68E+00,0.028,0.044,0,0.4
-3.68E+00,0.028,0.02,0,-0.2
-3.67E+00,0.028,0.044,0,0.4
-3.67E+00,0.028,0.02,0,-0.4
-3.67E+00,0.028,0.044,0,0.4
-3.66E+00,0.028,0.02,0,-0.2
-3.66E+00,0.028,0.044,0,0.4
-3.66E+00,0.028,0.02,0,-0.2
-3.65E+00,0.028,0.044,0,0.4
-3.65E+00,0.028,0.02,0,-0.2
-3.65E+00,0.028,0.044,0,0.4
-3.65E+00,0.028,0.02,0,-0.2
-3.64E+00,0.028,0.044,0,0.4
-3.64E+00,0.028,0.02,0,-0.2
-3.64E+00,0.028,0.044,0,0.4
-3.63E+00,0.028,0.02,0,-0.2
-3.63E+00,0.028,0.044,0,0.4
-3.63E+00,0.028,0.02,0,-0.2
-3.62E+00,0.028,0.044,0,0.4
-3.62E+00,0.028,0.02,0,-0.2
-3.62E+00,0.028,0.044,0,0.4
-3.61E+00,0.028,0.02,0,-0.2
-3.61E+00,0.028,0.044,0,0.4
-3.61E+00,0.028,0.02,0,-0.2
-3.60E+00,0.028,0.044,0,0.4
-3.60E+00,0.028,0.02,0,-0.2
-3.60E+00,0.028,0.044,0,0.4
-3.59E+00,0.028,0.02,0,-0.2
-3.59E+00,0.028,0.044,0,0.4
-3.59E+00,0.028,0.02,0,-0.2
-3.58E+00,0.028,0.044,0,0.4
-3.58E+00,0.028,0.02,0,-0.2
-3.58E+00,0.028,0.044,0,0.4
-3.57E+00,0.028,0.02,0.2,-0.2
-3.57E+00,0.028,0.044,0,0.4
-3.57E+00,0.028,0.012,0,-0.2
-3.57E+00,0.028,0.044,0,0.4
-3.56E+00,0.028,0.02,0,-0.2
-3.56E+00,0.028,0.044,0,0.4
-3.56E+00,0.028,0.012,0,-0.2
-3.55E+00,0.028,0.044,0,0.4
-3.55E+00,0.028,0.012,0,-0.2
-3.55E+00,0.028,0.044,0,0.2
-3.54E+00,0.028,0.02,0,-0.2
-3.54E+00,0.028,0.044,0,0.4
-3.54E+00,0.02,0.012,0,-0.2
-3.53E+00,0.028,0.044,0,0.4
-3.53E+00,0.028,0.012,0,-0.2
-3.53E+00,0.028,0.044,0,0.4
-3.52E+00,0.028,0.02,0,-0.2
-3.52E+00,0.028,0.044,0,0.4
-3.52E+00,0.028,0.012,0,-0.2
-3.51E+00,0.028,0.044,0,0.4
-3.51E+00,0.028,0.02,0,-0.2
-3.51E+00,0.028,0.044,0,0.4
-3.50E+00,0.028,0.012,0,-0.2
-3.50E+00,0.028,0.044,0,0.4
-3.50E+00,0.028,0.02,0,-0.2
-3.49E+00,0.028,0.036,0,0.4
-3.49E+00,0.028,0.012,0,-0.2
-3.49E+00,0.028,0.044,0,0.4
-3.49E+00,0.028,0.02,0,-0.2
-3.48E+00,0.028,0.044,0,0.4
-3.48E+00,0.028,0.02,0,-0.2
-3.48E+00,0.028,0.036,0,0.4
-3.47E+00,0.028,0.012,0,-0.2
-3.47E+00,0.028,0.044,0,0.4
-3.47E+00,0.028,0.012,0,-0.2
-3.46E+00,0.028,0.036,0,0.4
-3.46E+00,0.028,0.012,0,-0.2
-3.46E+00,0.028,0.036,0,0.4
-3.45E+00,0.028,0.012,0,-0.2
-3.45E+00,0.028,0.036,0,0.4
-3.45E+00,0.028,0.012,0,-0.2
-3.44E+00,0.028,0.044,0,0.4
-3.44E+00,0.028,0.012,0,-0.2
-3.44E+00,0.02,0.044,0,0.4
-3.43E+00,0.028,0.012,0,-0.2
-3.43E+00,0.028,0.036,0,0.4
-3.43E+00,0.028,0.02,0,-0.2
-3.42E+00,0.028,0.036,0,0.2
-3.42E+00,0.028,0.012,0,-0.2
-3.42E+00,0.028,0.044,0,0.4
-3.41E+00,0.028,0.012,0,-0.2
-3.41E+00,0.02,0.036,0,0.4
-3.41E+00,0.028,0.012,0,-0.2
-3.41E+00,0.028,0.036,0,0.2
-3.40E+00,0.028,0.012,0,-0.2
-3.40E+00,0.028,0.036,0,0.4
-3.40E+00,0.02,0.012,0,-0.2
-3.39E+00,0.028,0.036,0,0.4
-3.39E+00,0.028,0.012,0,-0.2
-3.39E+00,0.02,0.036,0,0.4
-3.38E+00,0.028,0.012,0,-0.2
